start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,bat_landing_number2,food_availability2,rat_minutes2,rat_arrival_number2,table_2_time,table_2_time_2
2017-12-26 20:57,1.0,,2017-12-26 20:53,2017-12-26 20:58,239,0,0,0,2017-12-26 16:43,4.248611111,0,51,2.968873797,1.283333333,2,,,,,2017-12-26 20:43,
2017-12-26 20:57,5.0,,2017-12-26 20:53,2017-12-26 20:58,199,0,0,0,2017-12-26 16:43,4.2375,0,51,2.968873797,1.283333333,2,,,,,2017-12-26 20:43,
2017-12-26 21:24,3.0,fast,2017-12-26 21:22,2017-12-26 21:27,121,0,1,0,2017-12-26 16:43,4.693611111,0,53,2.561403509,4.866666667,1,,,,,2017-12-26 21:13,
2017-12-26 21:24,15.0,rat,2017-12-26 21:22,2017-12-26 21:27,88,1,0,0,2017-12-26 16:43,4.684444444,0,53,2.561403509,4.866666667,1,,,,,2017-12-26 21:13,
2017-12-26 21:24,6.0,pick,2017-12-26 21:22,2017-12-26 21:27,113,0,1,0,2017-12-26 16:43,4.691388889,0,53,2.561403509,4.866666667,1,,,,,2017-12-26 21:13,
2017-12-26 21:24,5.0,pick,2017-12-26 21:22,2017-12-26 21:27,128,0,1,0,2017-12-26 16:43,4.695555556,0,53,2.561403509,4.866666667,1,,,,,2017-12-26 21:13,
2017-12-26 21:25,6.0,pick,2017-12-26 21:22,2017-12-26 21:27,153,0,1,0,2017-12-26 16:43,4.7025,0,53,2.561403509,4.866666667,1,,,,,2017-12-26 21:13,
2017-12-26 21:26,1.0,bat_fight,2017-12-26 21:22,2017-12-26 21:27,216,1,0,0,2017-12-26 16:43,4.72,0,53,2.561403509,4.866666667,1,,,,,2017-12-26 21:13,
2017-12-26 21:26,10.0,rat,2017-12-26 21:22,2017-12-26 21:27,208,1,0,0,2017-12-26 16:43,4.717777778,0,53,2.561403509,4.866666667,1,,,,,2017-12-26 21:13,
2017-12-27 01:35,2.0,rat_and_no_food,2017-12-27 01:34,2017-12-27 01:41,37,1,0,0,2017-12-26 16:43,8.8725,0,16,0.0,6.683333333,1,,,,,2017-12-27 01:13,
