start_time,rat_period_start,rat_period_end,sum_rat_minutes,avg_rat_arrival_number,avg_bat_landing_number,avg_food_availability,risk,reward,habit,seconds_after_rat_arrival,bat_landing_to_food,bat_landing_number,food_availability,rat_arrival_number,bat_landing_number2,food_availability2,rat_minutes,rat_minutes2,rat_arrival_number2,month,season,sunset_time,hours_after_sunset,motevation,decision time,rat_encounter
2017-12-26 20:57,2017-12-26 20:53,2017-12-26 20:58,1.283333333,2.0,51.0,2.968873797,0,0,,239,1.0,51,2.968873797,2,,,1.283333333,,,0,0,2017-12-26 16:43,4.248611111,1.4844368985,240.0,102
2017-12-26 20:57,2017-12-26 20:53,2017-12-26 20:58,1.283333333,2.0,51.0,2.968873797,0,0,,199,5.0,51,2.968873797,2,,,1.283333333,,,0,0,2017-12-26 16:43,4.2375,1.4844368985,204.0,102
2017-12-26 21:24,2017-12-26 21:22,2017-12-26 21:27,4.866666667,1.0,53.0,2.561403509,0,1,fast,121,3.0,53,2.561403509,1,,,4.866666667,,,0,0,2017-12-26 16:43,4.693611111,2.561403509,124.0,53
2017-12-26 21:24,2017-12-26 21:22,2017-12-26 21:27,4.866666667,1.0,53.0,2.561403509,1,0,rat,88,15.0,53,2.561403509,1,,,4.866666667,,,0,0,2017-12-26 16:43,4.684444444,2.561403509,103.0,53
2017-12-26 21:24,2017-12-26 21:22,2017-12-26 21:27,4.866666667,1.0,53.0,2.561403509,0,1,pick,113,6.0,53,2.561403509,1,,,4.866666667,,,0,0,2017-12-26 16:43,4.691388889,2.561403509,119.0,53
2017-12-26 21:24,2017-12-26 21:22,2017-12-26 21:27,4.866666667,1.0,53.0,2.561403509,0,1,pick,128,5.0,53,2.561403509,1,,,4.866666667,,,0,0,2017-12-26 16:43,4.695555556,2.561403509,133.0,53
2017-12-26 21:25,2017-12-26 21:22,2017-12-26 21:27,4.866666667,1.0,53.0,2.561403509,0,1,pick,153,6.0,53,2.561403509,1,,,4.866666667,,,0,0,2017-12-26 16:43,4.7025,2.561403509,159.0,53
2017-12-26 21:26,2017-12-26 21:22,2017-12-26 21:27,4.866666667,1.0,53.0,2.561403509,1,0,bat_fight,216,1.0,53,2.561403509,1,,,4.866666667,,,0,0,2017-12-26 16:43,4.72,2.561403509,217.0,53
2017-12-26 21:26,2017-12-26 21:22,2017-12-26 21:27,4.866666667,1.0,53.0,2.561403509,1,0,rat,208,10.0,53,2.561403509,1,,,4.866666667,,,0,0,2017-12-26 16:43,4.717777778,2.561403509,218.0,53
2017-12-27 01:35,2017-12-27 01:34,2017-12-27 01:41,6.683333333,1.0,16.0,0.0,1,0,rat_and_no_food,37,2.0,16,0.0,1,,,6.683333333,,,0,0,2017-12-26 16:43,8.8725,0.0,39.0,16
2017-12-28 03:58,2017-12-28 03:56,2017-12-28 04:13,16.900000003,1.0,8.0,0.8512717125,0,1,fast,107,2.0,5,0.971774194,1,11.0,0.730769231,16.01666667,0.883333333,1.0,0,0,2017-12-27 16:43,11.26277778,0.971774194,109.0,5
2017-12-28 04:02,2017-12-28 03:56,2017-12-28 04:13,16.900000003,1.0,8.0,0.8512717125,0,1,fast,358,2.0,5,0.971774194,1,11.0,0.730769231,16.01666667,0.883333333,1.0,0,0,2017-12-27 16:43,11.3325,0.971774194,360.0,5
2017-12-28 04:11,2017-12-28 03:56,2017-12-28 04:13,16.900000003,1.0,8.0,0.8512717125,0,0,,852,1.0,5,0.971774194,1,11.0,0.730769231,16.01666667,0.883333333,1.0,0,0,2017-12-27 16:43,11.46972222,0.971774194,853.0,5
2017-12-28 19:36,2017-12-28 19:35,2017-12-28 19:46,10.6,1.0,23.0,3.3104131295,0,1,fast,14,1.0,23,3.543859649,1,23.0,3.07696661,8.1,2.5,1.0,0,0,2017-12-28 16:44,2.868888889,3.543859649,15.0,23
2017-12-28 19:36,2017-12-28 19:35,2017-12-28 19:46,10.6,1.0,23.0,3.3104131295,1,0,rat,40,2.0,23,3.543859649,1,23.0,3.07696661,8.1,2.5,1.0,0,0,2017-12-28 16:44,2.876111111,3.543859649,42.0,23
2017-12-28 19:37,2017-12-28 19:35,2017-12-28 19:46,10.6,1.0,23.0,3.3104131295,1,0,rat,68,26.0,23,3.543859649,1,23.0,3.07696661,8.1,2.5,1.0,0,0,2017-12-28 16:44,2.883888889,3.543859649,94.0,23
2017-12-28 19:44,2017-12-28 19:35,2017-12-28 19:46,2.5,1.0,23.0,3.07696661,1,0,rat_and_others,521,5.0,23,3.07696661,1,,,2.5,,,0,0,2017-12-28 16:44,3.009722222,3.07696661,526.0,23
2017-12-28 19:45,2017-12-28 19:35,2017-12-28 19:46,2.5,1.0,23.0,3.07696661,1,1,pick_and_others,564,15.0,23,3.07696661,1,,,2.5,,,0,0,2017-12-28 16:44,3.021666667,3.07696661,579.0,23
2017-12-28 19:46,2017-12-28 19:35,2017-12-28 19:46,2.5,1.0,23.0,3.07696661,1,0,rat,607,24.0,23,3.07696661,1,,,2.5,,,0,0,2017-12-28 16:44,3.033611111,3.07696661,631.0,23
2017-12-30 18:37,2017-12-30 18:35,2017-12-30 18:38,3.283333333,1.0,36.0,4.0,1,0,rat,108,16.0,36,4.0,1,,,3.283333333,,,0,0,2017-12-30 16:45,1.870833333,4.0,124.0,36
