start_time,rat_period_start,rat_period_end,sum_rat_minutes,avg_rat_arrival_number,avg_bat_landing_number,avg_food_availability,risk,reward,habit,seconds_after_rat_arrival,bat_landing_to_food,bat_landing_number,food_availability,rat_arrival_number,bat_landing_number2,food_availability2,rat_minutes,rat_minutes2,rat_arrival_number2,month,season,sunset_time,hours_after_sunset,motevation,decision time
2018-05-17 03:26,2018-05-17 03:24,2018-05-17 03:26,2.1,1.0,42.0,1.809384164,1,0,rat,111,14.0,42,1.809384164,1,,,2.1,,,5,1,2018-05-16 19:31,7.918055556,1.809384164,125.0
2018-05-08 02:35,2018-05-08 02:33,2018-05-08 02:35,2.766666667,1.0,59.0,2.0,1,0,rat,161,5.0,59,2.0,1,,,2.766666667,,,5,1,2018-05-07 19:25,7.179166667,2.0,166.0
2018-04-03 23:31,2018-04-03 23:24,2018-04-03 23:40,9.883333333,1.0,82.0,2.295081967,1,0,rat_to_bat,402,0.010238211,82,2.295081967,1,,,9.883333333,,,4,1,2018-04-03 19:01,4.504166667,2.295081967,402.010238211
2018-02-15 19:31,2018-02-15 19:30,2018-02-15 19:31,1.266666667,1.0,51.0,3.322033898,1,0,attack_rat,71,0.085595674,51,3.322033898,1,,,1.266666667,,,2,0,2018-02-15 17:26,2.097222222,3.322033898,71.085595674
2018-04-02 22:04,2018-04-02 21:58,2018-04-02 22:09,8.95,1.0,98.0,2.774193548,1,0,rat,381,10.0,98,2.774193548,1,,,8.95,,,4,1,2018-04-02 19:01,3.06,2.774193548,391.0
2018-04-04 00:55,2018-04-04 00:48,2018-04-04 00:58,10.86666667,1.0,49.0,2.0,1,0,rat,418,14.0,49,2.0,1,,,10.86666667,,,4,1,2018-04-03 19:01,5.900833333,2.0,432.0
2018-05-07 03:16,2018-05-07 03:12,2018-05-07 03:16,4.066666667,1.0,27.0,3.0,1,0,bat_fight_rat,221,30.0,27,3.0,1,,,4.066666667,,,5,1,2018-05-06 19:24,7.867222222,3.0,251.0
2017-12-28 19:44,2017-12-28 19:35,2017-12-28 19:46,2.5,1.0,23.0,3.07696661,1,0,rat_and_others,521,5.0,23,3.07696661,1,,,2.5,,,0,0,2017-12-28 16:44,3.009722222,3.07696661,526.0
2018-02-02 18:30,2018-02-02 18:30,2018-02-02 18:30,0.133333333,1.0,46.0,4.0,1,0,rat,3,4.0,46,4.0,1,,,0.133333333,,,2,0,2018-02-02 17:15,1.260555556,4.0,7.0
2018-05-06 02:01,2018-05-06 01:56,2018-05-06 02:10,13.61666667,1.0,26.0,3.0,1,0,rat,270,0.092315438,26,3.0,1,,,13.61666667,,,5,1,2018-05-05 19:24,6.623888889,3.0,270.092315438
